id,claim,historical_value,source_document,code_or_script,recalculated_value,biswas_value,match,cause_if_different,action
N36,Fire slope enrichment,"12.3 deg vs 5.7, +115%",§5a,FEATURE_TABLE_v2,"11.9 vs 5.72, +108% (corrected label)",-,DIFFERENT,Half-pixel label shift,Replace
N37,Distance means roads / railways / waterways,"5.69 / 38.28 / 6.74 km",§5b,R7 / v2 table,"5.60 / 37.44 / 6.68 km (analysis pixels)",-,POPULATION-DEPENDENT,Different pixel population,State population
N38,Fire-coincidence roads / waterways / railways,"-40.1% / -64.7% / +4.8%",§5b,v2 table,"-41.5% / -63.9% / +1.4% (corrected label)",-,DIFFERENT,Label shift,Replace
N39,Distance accuracy,not validated,II.C12,recalc_07,"vs exact geodesic (n=3000): bias -0.15 / -0.22 / -0.14 km; RMSE 0.31 / 0.65 / 0.32 km",-,NEW,-,Add
N40,Feature count,"55 trainable (text) / 57 (after qair)",§6; CLAUDE.md,parquet,"57 (61 columns - lon, lat, fire_count, fire_ever)",-,57 CONFIRMED,Text inconsistent,Use 57 for v1; v2 has 55
N41,Pre-fix forest_frac_recent/current top-3 Gini (~0.40),~0.40,§6,not recomputed,"Leakage mechanism test: forest change 2001-2020 +0.019 at fire vs +0.018 at non-fire forest px",-,-,Importance reflected forest-mask dominance rather than post-fire reclassification,Reframe
N42,RF Track A headline,"AUC 0.9704, AP 0.7011",§7,models_classical repro,"0.9704 / 0.7011 (exact)",0.879 (not comparable),EXACT,-,keep as v1; v2: 0.9750 / 0.7200 (all), 0.8971 / 0.7212 (forest)
N43,MaxEnt Track A,"AUC 0.9598, AP 0.6275",§7,models_classical repro,"0.9598 / 0.6275 (exact)",-,EXACT,-,keep as v1; v2 0.9670 / 0.6626
N44,RF / MaxEnt spatial-block CV,"0.9498+/-0.0035 / 0.9465+/-0.0054",§7,models_classical B1hist,"RF folds 0.9459 / 0.9527 / 0.9508 (exact)",-,EXACT,"Not the same folds/grid/label/features as CDR B1",Remove 'matching B1 exactly'
N45,MaxEnt subsample,150k of ~2.7M,II.A2,maxent_n,"150,000 of 2,704,498 (5.5%); 500k gives +0.0015 (all) / +0.006 (forest) AUC at 6.5x the time",-,EXACT,-,Disclose + report sensitivity
N46,CDR Track A,"test AUC 0.9398 (val 0.9351, AP 0.9223)",§8,repro_historical_cdr.py,"0.9398 / 0.9351 / 0.9223 (bit-exact); unified 3-seed full CDR 0.9388 +/- 0.0016",-,EXACT,-,Report with prevalence 42% and 12 km population
N47,CDR Track A multi-seed,0.9391+/-0.0017,§8,unified runner,full CDR 0.9388 +/- 0.0016 (seeds 42-44),-,CONSISTENT,-,keep
N48,CDR B1,0.7510+/-0.0182,§8,repro_historical_cdr.py,"0.7510 +/- 0.0182 (bit-exact); unified protocol 0.7185 (3 seeds)",-,EXACT,Historical validation carved random pixels (in-distribution),Report unified value
N49,CDR B2,0.6187+/-0.0680,§8,repro,"0.6187 +/- 0.0680 (bit-exact); unified 0.5701 (3 seeds)",-,EXACT,as above,Report unified value
N50,CDR B3,"0.8960, AP 0.1445, n=856,596, 2.46%",§8,repro,"0.8960 / 0.1445 (bit-exact); leak-free 0.8934 +/- 0.0031; nulls 0.908 / 0.930",not reported by Biswas,EXACT (interpretation wrong),Below covariate-free persistence nulls,Report with nulls
N51,Term ablation,"0.6017 / 0.9239 / 0.9397",§8,historical JSONs,"Historical values from single-seed fixed-budget runs; full_cdr checkpoint overwritten by standard-protocol checkpoint. Unified: nophys 0.9450, diff 0.9242, diff+adv 0.9394, full 0.9388",-,NOT REPRODUCIBLE (checkpoint overwritten) / SUPERSEDED,Protocol differences; no no-physics arm,Replace with unified 4-arm ablation
N52,Physics vs no physics (A/B1/B2/B3),"-0.0055 / +0.0040 / -0.0390 / -0.0124",§8,unified,"full - nophys: -0.0062 (A, p<0.02 all seeds) / -0.0050 (B1, CI incl 0) / -0.0443 (B2, CI incl 0) / -0.0110 (B3)",-,CONSISTENT DIRECTION,-,Replace with 3-seed paired values
N53,Physics training cost,2.50x (146.7 s -> 367.4 s),§8,unified,"Track A mean fit time: nophys 95 s, full 222 s (2.3x); B3 143 s vs 343 s (2.4x)",-,CONSISTENT,-,keep
N54,Jackknife elevation-only AUC,0.9399,§8,historical JSON,not re-run,-,NOT RE-RUN,-,Frame as CDR-covariate-specific (terrain redundant in full predictor set)
N55,Peak GPU memory,3.25 GB,§8,unified,3.2 GB (repro),-,EXACT,-,keep
