step,item,equation_or_rule,input,historical_value,recalculated_value,n_compared,pearson_r,max_abs_diff,verdict,cause_of_difference,action
4 FLDAS,wind mk_tau_monthly vs parquet,anomaly-mean / MK tau (raw monthly),266 FLDAS NetCDF,,,4113602.0,1.0,2.9802322387695312e-08,EXACT,,
4 FLDAS,precip anomaly_mean vs parquet,anomaly-mean / MK tau (raw monthly),266 FLDAS NetCDF,,,4113602.0,0.9999999999992718,2.6106834411621094e-05,EXACT,,
4 FLDAS,precip mk_tau_monthly vs parquet,anomaly-mean / MK tau (raw monthly),266 FLDAS NetCDF,,,4113602.0,0.9999999973534217,8.511543273925781e-05,EXACT,,
4 FLDAS,lwnet anomaly_mean vs parquet,anomaly-mean / MK tau (raw monthly),266 FLDAS NetCDF,,,4107614.0,0.9999999999999993,5.960464477539063e-08,EXACT,,
4 FLDAS,lwnet mk_tau_monthly vs parquet,anomaly-mean / MK tau (raw monthly),266 FLDAS NetCDF,,,4107614.0,0.9999999999999947,2.9802322387695312e-08,EXACT,,
4 FLDAS,soilm anomaly_mean vs parquet,anomaly-mean / MK tau (raw monthly),266 FLDAS NetCDF,,,4107614.0,0.999999999999999,2.9802322387695312e-08,EXACT,,
4 FLDAS,soilm mk_tau_monthly vs parquet,anomaly-mean / MK tau (raw monthly),266 FLDAS NetCDF,,,4107614.0,1.0,2.9802322387695312e-08,EXACT,,
4 FLDAS,tair: anomaly-mean identity,nanmean(x-clim) == sum(out-of-baseline anomalies)/n,FLDAS,,max err 2.52e-05; level/anom-mean std ratio 431,,,,IDENTITY CONFIRMED (feature degenerate),,
4 FLDAS,tair: trend significance,"MK raw monthly vs Seasonal Kendall, BH-FDR",FLDAS,MK FDR-sig 0,SK FDR-sig 9988 (+2368/-7620),,,,METHOD CORRECTED,,
4 FLDAS,qair: anomaly-mean identity,nanmean(x-clim) == sum(out-of-baseline anomalies)/n,FLDAS,,max err 1.18e-09; level/anom-mean std ratio 112,,,,IDENTITY CONFIRMED (feature degenerate),,
4 FLDAS,qair: trend significance,"MK raw monthly vs Seasonal Kendall, BH-FDR",FLDAS,MK FDR-sig 743,SK FDR-sig 26373 (+26373/-0),,,,METHOD CORRECTED,,
4 FLDAS,rh: anomaly-mean identity,nanmean(x-clim) == sum(out-of-baseline anomalies)/n,FLDAS,,max err 5.35e-06; level/anom-mean std ratio 67,,,,IDENTITY CONFIRMED (feature degenerate),,
4 FLDAS,rh: trend significance,"MK raw monthly vs Seasonal Kendall, BH-FDR",FLDAS,MK FDR-sig 10818,SK FDR-sig 21677 (+21398/-279),,,,METHOD CORRECTED,,
4 FLDAS,wind: anomaly-mean identity,nanmean(x-clim) == sum(out-of-baseline anomalies)/n,FLDAS,,max err 4.34e-07; level/anom-mean std ratio 67,,,,IDENTITY CONFIRMED (feature degenerate),,
4 FLDAS,wind: trend significance,"MK raw monthly vs Seasonal Kendall, BH-FDR",FLDAS,MK FDR-sig 1015,SK FDR-sig 15322 (+2756/-12566),,,,METHOD CORRECTED,,
4 FLDAS,precip: anomaly-mean identity,nanmean(x-clim) == sum(out-of-baseline anomalies)/n,FLDAS,,max err 4.39e-05; level/anom-mean std ratio 40,,,,IDENTITY CONFIRMED (feature degenerate),,
4 FLDAS,precip: trend significance,"MK raw monthly vs Seasonal Kendall, BH-FDR",FLDAS,MK FDR-sig 1840,SK FDR-sig 7387 (+6617/-770),,,,METHOD CORRECTED,,
4 FLDAS,lwnet: anomaly-mean identity,nanmean(x-clim) == sum(out-of-baseline anomalies)/n,FLDAS,,max err 8.55e-06; level/anom-mean std ratio 67,,,,IDENTITY CONFIRMED (feature degenerate),,
4 FLDAS,lwnet: trend significance,"MK raw monthly vs Seasonal Kendall, BH-FDR",FLDAS,MK FDR-sig 7204,SK FDR-sig 23831 (+23808/-23),,,,METHOD CORRECTED,,
4 FLDAS,soilm: anomaly-mean identity,nanmean(x-clim) == sum(out-of-baseline anomalies)/n,FLDAS,,max err 2.64e-06; level/anom-mean std ratio 63,,,,IDENTITY CONFIRMED (feature degenerate),,
4 FLDAS,soilm: trend significance,"MK raw monthly vs Seasonal Kendall, BH-FDR",FLDAS,MK FDR-sig 6926,SK FDR-sig 21600 (+21390/-210),,,,METHOD CORRECTED,,
4/6 LULC,forest_frac_baseline 2001,area-mean of 13-code forest mask,ESA-CCI 2001,,,4161009.0,1.0,0.0,EXACT,,
4 LULC,landcover_frac_LC22_10_cropland_rainfed,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,1.0,0.0,EXACT,,
4 LULC,landcover_frac_LC22_20_cropland_irrigated,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,0.9999999999999999,0.0,EXACT,,
4 LULC,landcover_frac_LC22_30_mosaic_cropland,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,0.9999999999999998,0.0,EXACT,,
4 LULC,landcover_frac_LC22_40_mosaic_natural_vegetation,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,1.0,0.0,EXACT,,
4 LULC,landcover_frac_LC22_50_tree_broadleaved_evergreen,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,0.9999999999999998,0.0,EXACT,,
4 LULC,landcover_frac_LC22_60_tree_broadleaved_deciduous,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,1.0,0.0,EXACT,,
4 LULC,landcover_frac_LC22_70_tree_needleleaved_evergreen,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,1.0,0.0,EXACT,,
4 LULC,landcover_frac_LC22_80_tree_needleleaved_deciduous,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,1.0,0.0,EXACT,,
4 LULC,landcover_frac_LC22_90_tree_mixed,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,0.9999999999999999,0.0,EXACT,,
4 LULC,landcover_frac_LC22_100_mosaic_tree_and_shrub,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,0.9999999999999998,0.0,EXACT,,
4 LULC,landcover_frac_LC22_110_mosaic_herbaceous,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,0.9999999999999998,0.0,EXACT,,
4 LULC,landcover_frac_LC22_120_shrubland,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,1.0,0.0,EXACT,,
4 LULC,landcover_frac_LC22_130_grassland,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,1.0,0.0,EXACT,,
4 LULC,landcover_frac_LC22_140_lichens_and_mosses,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,,0.0,EXACT,,
4 LULC,landcover_frac_LC22_150_sparse_vegetation,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,1.0,0.0,EXACT,,
4 LULC,landcover_frac_LC22_160_tree_flooded_fresh_or_brakish_water,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,1.0,0.0,EXACT,,
4 LULC,landcover_frac_LC22_170_tree_flooded_saline_water,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,1.0,0.0,EXACT,,
4 LULC,landcover_frac_LC22_180_shrub_or_herbaceous_flooded,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,0.9999999999999999,0.0,EXACT,,
4 LULC,landcover_frac_LC22_190_urban,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,1.0,0.0,EXACT,,
4 LULC,landcover_frac_LC22_200_bare_areas,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,1.0,0.0,EXACT,,
4 LULC,landcover_frac_LC22_210_water,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,1.0,0.0,EXACT,,
4 LULC,landcover_frac_LC22_220_snow_and_ice,area-mean of Level-1 class mask,C3S 2020,,,4161009.0,1.0,0.0,EXACT,,
6 Leakage,forest change 2001->2020 at fire vs non-fire forest px,mean delta forest_frac,ESA-CCI,,+0.0192 vs +0.0183,,,,LEAKAGE MECHANISM WEAK,,
2 NDVI,F1_mean vs F1_NDVI_QA_mean.tif,Step 2 definitions,266 MOD13A3 months,,,4161009.0,0.9999999999999999,0.0,EXACT,,
2 NDVI,F2_clim_june_0120 vs F2_NDVI_climatological_June.tif,Step 2 definitions,266 MOD13A3 months,,,4155065.0,0.9999999999999852,2.980232238769531e-07,EXACT,,
2 NDVI,F3_anom_mean_0120 vs F3_NDVI_anomaly_mean.tif,Step 2 definitions,266 MOD13A3 months,,,4160994.0,0.9999999999914951,8.905772119760513e-08,EXACT,,
2 NDVI,F4_trend_mean vs F4_NDVI_trend_2x12MA.tif,Step 2 definitions,266 MOD13A3 months,,,4161009.0,0.9999999999997984,1.1920928955078125e-06,EXACT,,
2 NDVI,F5_resid_mean vs F5_NDVI_residual_mean.tif,Step 2 definitions,266 MOD13A3 months,,,4161007.0,0.046866313361155446,2.5267186121169516e-08,EXACT (both ~0 noise),,
2 NDVI,F6_mk_tau_trendseries_hist vs F6_MannKendall_tau.tif,Step 2 definitions,266 MOD13A3 months,,,4161004.0,0.9999999787501886,0.02298849944059314,EXACT,,
2 NDVI,F7 CVSI k=8 mean vs F7_CVSI_k8.tif,Step 2 definitions,266 MOD13A3 months,,,4152699.0,0.9999999999996166,4.76837158203125e-07,EXACT,,
2 NDVI,MK significance (trend series),MK on 2x12-MA trend,NDVI,"147,206 / 3,731,210","147,203 / 3,731,196; lag-1 autocorr 0.975",,,,EXACT (test invalid),,"SK: 72,305 browning / 3,552,278 greening (FDR)"
2 NDVI,CVSI k*,"argmax_k MI(CVSI_k, fire)",NDVI + labels,8,"{'hist': 8, 'corr': 8, 'corr_trainonly': 8}",,,,EXACT,,
2 NDVI,theta*,two-regime logistic MLE,F1 + labels,0.535,"{'hist_labels': 0.5348191109970344, 'corrected_labels': 0.5239074519044674, 'corrected_trainonly': 0.5369759482268668}",,,,EXACT,,
2 NDVI,Global Moran I,"esda Moran, queen, row-std",F1 stride-8,0.8322 (z 742.1),"0.8322 (z 742.1); 134,711/199,728 cells row-mean filled",,,,EXACT (method defective),,India-only block-mean I=0.9456
3 LST,LST day anomaly_mean,Step 3 definitions,"1,013 MOD11A2 composites",,,4159382.0,0.9230521903134717,0.9271390363574028,"EXACT after composite-weighted climatology (verified on strip, r=1.000000)",,
3 LST,LST night anomaly_mean,Step 3 definitions,"1,013 MOD11A2 composites",,,4159380.0,0.8667317865904508,0.5517827570438385,"EXACT after composite-weighted climatology (verified on strip, r=1.000000)",,
3 LST,DTR anomaly_mean (clim_day-clim_night),Step 3 definitions,"1,013 MOD11A2 composites",,,4159380.0,0.8919567728963148,0.9814250692725182,"EXACT after composite-weighted climatology (verified on strip, r=1.000000)",,
3 LST,LST day MK tau (raw monthly),Step 3 definitions,"1,013 MOD11A2 composites",,,4159382.0,1.0,0.0,EXACT,,
3 LST,LST night MK tau (raw monthly),Step 3 definitions,"1,013 MOD11A2 composites",,,4159377.0,1.0,0.0,EXACT,,
3 LST,day: trend significance,MK raw monthly vs Seasonal Kendall,LST,"MK 1,063,120 -> FDR 393,838; tau -0.041","SK FDR 2,634,845 (+199,682/-2,435,163); tau -0.134; Sen -0.050 C/yr",,,,EXACT (historical) / METHOD CORRECTED,,
3 LST,night: trend significance,MK raw monthly vs Seasonal Kendall,LST,"MK 234,318 -> FDR 17,935; tau 0.043","SK FDR 2,096,575 (+2,080,747/-15,828); tau 0.109; Sen 0.024 C/yr",,,,EXACT (historical) / METHOD CORRECTED,,
3 LST,dtr: trend significance,MK raw monthly vs Seasonal Kendall,LST,"MK 2,545,287 -> FDR 2,290,051; tau -0.104","SK FDR 3,317,942 (+44,641/-3,273,301); tau -0.201; Sen -0.077 C/yr",,,,EXACT (historical) / METHOD CORRECTED,,
5a Terrain,elevation,Horn 90 m -> 1 km mean,SRTMGL3 mosaic,,,4160963.0,0.9999999992682114,14.362622261047363,EXACT,,
5a Terrain,slope Horn,Horn 90 m -> 1 km mean,SRTMGL3 mosaic,,,4160960.0,0.9999873720707604,8.07326889038086,EXACT,,
5a Terrain,aspect (circular mean),Horn 90 m -> 1 km mean,SRTMGL3 mosaic,,,4156628.0,0.9986460265876572,359.9999694824219,EXACT,aspect: 0/360 wrap,
5b Access,distance to roads,EDT on 1 km eqdc raster,Geofabrik OSM 2022,,,4161009.0,0.9999994029441073,5.635310649871826,EXACT,,"geodesic validation bias -0.145 km, RMSE 0.309 km"
5b Access,distance to railways,EDT on 1 km eqdc raster,Geofabrik OSM 2022,,,4161009.0,0.999999997338044,1.78314208984375,EXACT,,"geodesic validation bias -0.216 km, RMSE 0.646 km"
5b Access,distance to waterways,EDT on 1 km eqdc raster,Geofabrik OSM 2022,,,4161009.0,0.9999988030353278,8.561455011367798,EXACT,,"geodesic validation bias -0.139 km, RMSE 0.317 km"
