result,biswas_reported,current_recalculated,how,comparability
Percent contribution: Air temperature (%),3.8,Not computed (path-dependent MaxEnt optimiser quantity; elapid provides no equivalent),,Not comparable
Percent contribution: Specific humidity (%),15.0,Not computed (path-dependent MaxEnt optimiser quantity; elapid provides no equivalent),,Not comparable
Percent contribution: LST night (%),8.9,Not computed (path-dependent MaxEnt optimiser quantity; elapid provides no equivalent),,Not comparable
Percent contribution: LST day (%),4.5,Not computed (path-dependent MaxEnt optimiser quantity; elapid provides no equivalent),,Not comparable
Percent contribution: Distance to roads (%),2.6,Not computed (path-dependent MaxEnt optimiser quantity; elapid provides no equivalent),,Not comparable
Percent contribution: Slope (%),16.7,Not computed (path-dependent MaxEnt optimiser quantity; elapid provides no equivalent),,Not comparable
Percent contribution: Distance to railways (%),4.9,Not computed (path-dependent MaxEnt optimiser quantity; elapid provides no equivalent),,Not comparable
Percent contribution: Soil moisture (%),0.9,Not computed (path-dependent MaxEnt optimiser quantity; elapid provides no equivalent),,Not comparable
Percent contribution: Precipitation (%),1.7,Not computed (path-dependent MaxEnt optimiser quantity; elapid provides no equivalent),,Not comparable
Percent contribution: Near-surface wind speed (%),4.3,Not computed (path-dependent MaxEnt optimiser quantity; elapid provides no equivalent),,Not comparable
Percent contribution: Elevation (%),2.0,Not computed (path-dependent MaxEnt optimiser quantity; elapid provides no equivalent),,Not comparable
Percent contribution: Net longwave radiation flux (%),0.6,Not computed (path-dependent MaxEnt optimiser quantity; elapid provides no equivalent),,Not comparable
Percent contribution: Aspect (%),3.8,Not computed (path-dependent MaxEnt optimiser quantity; elapid provides no equivalent),,Not comparable
Percent contribution: Distance to waterways (%),1.7,Not computed (path-dependent MaxEnt optimiser quantity; elapid provides no equivalent),,Not comparable
Pearson r with fire-point density: NDVI,0.43,0.456,"0.25 deg cells, 2001-2020 forest-fire counts",Moderate (source differs for soil moisture / net LW)
Pearson r with fire-point density: Slope,0.4,0.223,"0.25 deg cells, 2001-2020 forest-fire counts",Moderate (source differs for soil moisture / net LW)
Pearson r with fire-point density: Near-surface wind speed,-0.32,-0.363,"0.25 deg cells, 2001-2020 forest-fire counts",Moderate (source differs for soil moisture / net LW)
Pearson r with fire-point density: Net longwave radiation flux,0.28,0.361,"0.25 deg cells, 2001-2020 forest-fire counts",Moderate (source differs for soil moisture / net LW)
Pearson r with fire-point density: Soil moisture,0.27,0.389,"0.25 deg cells, 2001-2020 forest-fire counts",Moderate (source differs for soil moisture / net LW)
Jackknife: variable with highest AUC/gain alone,Specific humidity (qualitative; values only in Fig. 10),NDVI (test AUC 0.799); specific humidity alone 0.723,test AUC (not gain),Limited (metric differs: gain vs AUC)
Jackknife: variable whose omission hurts most,Specific humidity (qualitative),Net longwave radiation flux (without: 0.883),test AUC,Limited
